Columna1,Columna2,Columna3
SEC-1 C-6,3,2666
,3,2667
,3,2669
SEC-1 I-5,3,2670
SEC-1 H-5,3,2671
SEC-1 G-5,3,2672
SEC-1 G-4,3,2673
,3,2675
SEC-1 I-3,3,2677
,3,2678
,3,2679
,3,2680
SEC-1 H-3,3,2683
SEC-1 H-3,3,2684
,3,2685
SEC-1 H-2,3,2687
SEC-1 D-3,3,2691
SEC-4 Q-1,3,2695
SEC-4 S-4,3,2696
SEC-4 S-5,3,2697
SEC-4 S-4,3,2699
SEC-1 B-3,3,2710
SEC-1 B-3,3,2711
,3,2712
SEC-1 A-3,3,2714
,3,2715
SEC-1 F-1,3,2718
SEC-1 A-5,3,2725
SEC-1 A-5,3,2726
SEC-1 A-2,3,2727
SEC-1 A-2,3,2728
SEC-1 A-2,3,2729
SEC-1 A-2,3,2730
SEC-1 B-1,3,2732
SEC-1 B-1,3,2733
SEC-1 B-1,3,2734
SEC-1 H-5,3,2735
SEC-1 H-5,3,2736
SEC-1 G-5,3,2737
SEC-1 G-5,3,2738
SEC-1 D-3,3,2740
SEC-1 D-3,3,2741
SEC-1 D-3,3,2742
,3,2743
SEC-1 D-2,3,2745
SEC-1 D-1,3,2746
SEC-1 D-1,3,2747
SEC-1 D-2,3,2748
SEC-1 D-2,3,2749
SEC-1 C-2,3,2750
SEC-1 K-1,3,2752
SEC-1 K-3,3,2753
SEC-1 K-2,3,2754
SEC-1 K-2,3,2755
SEC-1 E-5,3,2756
,3,2758
,3,2759
,3,2760
,3,2761
,3,2762
,3,2763
,3,2765
,3,2766
,3,2767
,3,2768
,3,2769
,3,2770
,3,2771
,3,2772
,3,2773
,3,2776
,3,2778
,3,2781
,3,2782
,3,2784
,3,2785
,3,2787
,3,2789
,3,2790
,3,2792
,3,2793
,3,2795
,3,2796
,3,2797
,3,2798
,3,2801
,3,2802
,3,2806
SEC-4 S-5,3,2809
SEC-4 V,3,2815
SEC-2  N-4,3,2819
SEC-2 N-2,3,2820
SEC-2 N-2,3,2821
SEC-2 L-3,3,2822
SEC-2 N-2,3,2824
SEC-2  N.3,3,2825
SEC-2 N-2,3,2827
,3,2833
,3,2838
,3,2840
,3,2843
,3,2848
SEC-3 O-3,3,2850
SEC-3 O-3,3,2851
,3,2853
,3,2858
,3,2859
,3,2860
SEC-3 O-3,3,2861
SEC-3 O-2,3,2862
SEC-3 O-2,3,2863
,3,2864
,3,2866
,3,2867
,3,2868
,3,2870
,3,2871
,3,2872
,3,2873
,3,2874
SEC-1 K-5,3,2882
SEC -3 O-4,3,2890
,3,2898
,3,2899
,3,2901
,3,2902
,3,2904
,3,2906
,3,2907
,3,2909
,3,2910
,3,2911
,3,2912
,3,2913
,3,2914
,3,2915
,3,2916
,3,2917
,3,2936
,3,2938
,3,2939
,3,2940
,3,2944
,3,2945
,3,2947
,3,2948
SEC-3 N-3,3,2949
,3,2978
SEC-1 I-3,3,2979
SEC-1 A-1,3,2981
,3,2987
,3,2988
,3,2989
,3,2990
,3,2991
,3,2992
,3,2993
,3,2994
,3,2995
,3,2996
,3,2997
,3,2998
,3,2999
,3,3000
,3,3001
,3,3002
SEC-4 P-2,3,3008
SEC-4 Q-2,3,3009
SEC-4 P-6,3,3012
SEC-4 S-6,3,3016
SEC-1 B-2,3,3017
SEC-1 B-2,3,3018
SEC-1 B-2,3,3019
SEC-1 B-2,3,3020
SEC-1 B-2,3,3021
SEC-1 B-2,3,3022
,3,3024
,3,3025
,3,3026
,3,3028
,3,3029
,3,3030
SEC-4 R-2,3,3035
SEC-1 B-4,3,3036
SEC-1 J-3,3,3037
SEC-1 J-3,3,3038
,3,3039
SEC-4 S-4,3,3040
,3,3045
SEC-4 S-2,3,3046
SEC-4 S-2,3,3047
SEC-4 R-5,3,3048
,3,3052
,3,3053
SEC-1 I-3,3,3054
SEC-1 J-3,3,3055
,3,3056
SEC-1 K-3,3,3058
SEC-1 K-3,3,3059
SEC-1 I-5,3,3060
,3,3061
,3,3062
,3,3063
,3,3064
,3,3065
,3,3066
,3,3067
,3,3068
,3,3069
,3,3070
,3,3071
,3,3072
,3,3073
,3,3074
,3,3076
,3,3077
SEC-4 K-5,3,3079
SEC-1 D-2,3,3080
SEC-4 R-1,3,3081
SEC-1 C-1,3,3082
,3,3084
,3,3085
SEC-1 C-1,3,3086
SEC-1 A-2,3,3088
SEC-1 C-2,3,3089
SEC-1 B-1,3,3090
SEC-1 I-1,3,3091
SEC-1 F-1,3,3106
SEC-4 S-3,3,3111
SEC-4 Q-2,3,3112
SEC-1 C-5,3,3116
SEC-1 B-5,3,3117
SEC-1 B-4,3,3118
SEC-1 B-4,3,3119
SEC-1 A-4,3,3120
SEC-1 A-4,3,3121
SEC-1 A-4,3,3122
SEC-4 S-1,3,3124
SEC-4 Q-3,3,3125
SEC-1 C-2,3,3126
SEC-4 R-3,3,3127
SEC-1 C-2,3,3128
SEC-1 D-6,3,3129
,3,3130
,3,3132
SEC-1 I-4,3,3133
SEC-2 N-4,3,3134
SEC-2 N-2,3,3135
SEC-2 N-3,3,3137
SEC-2 N-3,3,3138
SEC-2 N-3,3,3139
,3,3140
SEC-1 G-1,3,3141
SEC-1 G-1,3,3142
SEC-4 Q-4,3,3143
SEC-4 Q-4,3,3144
SEC-1 C-3,3,3146
SEC-1 C-3,3,3147
SEC-1 C-3,3,3148
SEC-1 C-3,3,3149
SEC-1 C-3,3,3150
SEC-1 C-3,3,3151
,3,3152
SEC-1 G-5,3,3153
SEC-2 L-5,3,3154
SEC-1 D-6,3,3156
SEC-3 D-6,3,3157
SEC-1 A-5,3,3161
SEC-1 G-4,3,3163
SEC-1 G-4,3,3166
SEC-1 G-3,3,3169
SEC-1 G-3,3,3170
SEC-1 G-3,3,3172
SEC-1 H-3,3,3173
SEC-1 H-3,3,3174
SEC-1 G-2,3,3175
SEC-1 C-1,3,3176
SEC-1 C-1,3,3177
SEC-1 A-5,3,3179
SEC-1 A-3,3,3180
SEC-1 A-3,3,3181
SEC-1 A-3,3,3182
SEC-1 A-3,3,3183
SEC-1 A-3,3,3184
SEC-1 A-4,3,3185
SEC-1 A-4,3,3186
SEC-1 B-3,3,3187
SEC-1 A-4,3,3191
SEC-1 B-4,3,3192
,3,3193
SEC-1 A-1,3,3194
SEC-1 B-3,3,3196
SEC-1 C-3,3,3197
SEC-1 C-4,3,3199
SEC-1 C-5,3,3200
SEC-1 A-4,3,3201
SEC-1 A-4,3,3202
,3,3203
SEC-1 C-4,3,3206
SEC-1 G-3,3,3209
,3,3212
,3,3213
SEC-1 I-4,3,3217
SEC-4 R-4,3,3219
SEC-4 R-4,3,3222
SEC-4 R-2,3,3223
,3,3224
SEC-1 D-6,3,3225
,3,3226
,3,3228
,3,3229
,3,3231
,3,3232
,3,3233
,3,3237
,3,3238
,3,3239
,3,3240
,3,3241
,3,3243
,3,3244
,3,3245
,3,3246
,3,3247
,3,3248
,3,3249
SEC-4 Q-3,3,3250
SEC-4 Q-3,3,3251
SEC-1 K-1,3,3253
,3,3255
,3,3256
,3,3257
SEC-3 Ñ-2,3,3258
SEC-3 N-2,3,3260
,3,3261
,3,3262
,3,3263
SEC-1 A-4,3,3264
SEC-2 N-2,3,3265
SEC-2 N-3,3,3267
SEC-2 N-3,3,3268
SEC-1 D-3,3,3269
,3,3270
,3,3272
,3,3273
,3,3274
,3,3275
,3,3276
SEC-4 AC,3,3277
SEC-1 I-2,3,3278
,3,3279
,3,3283
,3,3284
,3,3289
,3,3290
,3,3291
,3,3292
