id_producto,cantidad_presentación
2050,48
2051,48
2052,48
2053,48
2054,48
2055,48
2056,48
2299,50
2301,50
2303,50
2304,50
2306,50
2310,50
2313,50
2314,50
2316,50
2317,50
2318,50
2325,20
2326,20
2327,20
2328,20
2329,20
2330,20
2331,20
2332,20
2333,20
2619,12
2620,12
2621,12
2631,100
2632,100
2633,100
2634,100
2635,100
2636,100
2637,100
2638,100
2758,100
2759,100
2760,100
2761,100
2767,50
2768,50
2769,50
2940,50
2941,50
2942,50
2943,50
2947,100
