ID de Producto,Ubicación de almacén
2908,F-15
2909,F-15
3256,F-15
3255,F-15
3258,F-15
3259,F-15
3260,F-15
2840,F-16
2872,F-16
2875,F-16
2879,F-16
2888,F-16
2890,F-16
2897,F-16
2873,F-16 F-17
2607,F-17
2608,F-17
2618,F-17
2852,F-17
2853,F-17
2854,F-17
2857,F-17
2869,F-17
2870,F-17
2871,F-17
2880,F-17
2874,F-17 F-16
2878,F-17 F-16
2987,F-18
2988,F-18
2989,F-18
2990,F-18
2568,F-18
2570,F-18
2571,F-18
2572,F-18
2847,F-18
2848,F-18
2583,F-18
2610,F-18
2611,F-18
2616,F-18
2617,F-18
2558,F-19
2561,F-19
2562,F-19
2563,F-19
2564,F-19
2565,F-19
2566,F-19
2577,F-19
2580,F-19
2640,F-19
2641,F-19
2643,F-19
2553,F-20
2555,F-20
2832,F-20
2834,F-20
2559,F-20
3261,F-20
2626,F-20
2628,F-20
2833,F-20 F-21
2290,F-21
2291,F-21
2292,F-21
2293,F-21
2551,F-21
2552,F-21
2978,F-21
2590,F-21
2591,F-21
2627,F-21
2557,F-21 F-20
2625,F-21 F-20
2274,F-22
2275,F-22
2276,F-22
2277,F-22
2278,F-22
2279,F-22
2281,F-22
2285,F-22
2286,F-22
2288,F-22
2289,F-22
2296,F-22
2584,F-22
2585,F-22
2587,F-22
2980,F-22
2589,F-22
2586,F-23
3154,F-23
2005,F-24
2006,F-24
2756,F-24
2004,F-25
2742,F-26
2743,F-26
3269,F-26  
3270,F-27
1986,F-27
2740,F-27
2741,F-27
1946,F-28
1948,F-28
1945,F-28
1941,F-29
1942,F-29
1947,F-29
3189,F-30
3195,F-30
3196,F-30
1943,F-30
3183,F-31
3184,F-31
3185,F-31
3186,F-31
3149,F-32
3150,F-32
3151,F-32
3181,F-32
3182,F-32
3148,F-33
3147,F-33 F-34
3089,F-34
3126,F-34
3128,F-34
3091,F-35
3090,F-35 F-36
3082,F-36
3086,F-36
3088,F-36
1999,G-13
2754,G-13
3060,G-13
3208,G-14
2752,G-14
2753,G-14
1994,G-15
2000,G-15
1997,G-16
2002,G-16
2003,G-16
1991,G-17
1992,G-17 C-24
3080,G-18
1989,G-18
2749,G-19
2750,G-19
2748,G-20
2746,G-21
2747,G-21
2745,G-21 G-22
1954,G-22
1987,G-22
1953,G-23
1910,G-25
2349,I-16
2352,I-16
2354,I-16
2358,I-16
2359,I-16
2360,I-16
2361,I-16
2365,I-16
2366,I-16
2367,I-16
2368,I-16
2350,I-17
2355,I-17
2369,I-17
2370,I-17
2373,I-17
2348,I-18
2353,I-18
2356,I-18
2357,I-18
3024,I-20
3025,I-20
3026,I-20
3028,I-20
3029,I-20
2335,I-21
2336,I-21
2337,I-21
2338,I-21
2601,I-22
3039,I-22
2600,I-23
2881,I-23
2882,I-23
2599,I-24
1897,J-26
3210,J-26
2766,J-27
2765,J-28
2865,J-29
2605,J-30
2606,J-30
2688,J-33
2696,J-33
2984,J-33
3013,J-33
3040,J-33
2026,J-34
2027,J-34
3178,J-34
1929,J-34
2862,J-34
2863,J-34
2864,J-34
2979,J-35
3014,J-35
2604,J-35
2850,J-35
2851,J-35
3175,J-36
3176,J-36
3113,J-36
