Folio: CO20220711703,Proveedor: Sra. Victoria,Total: $0,Fecha: 2022-07-11,Hora: 23:31:27,Usuario: Oscar Eduardo Mendoza de la Peña
ID DE PRODUCTO,CLAVE,NOMBRE,CANTIDAD EN PIEZAS,PRECIO POR PIEZA,TOTAL CAJAS,MONTO TOTAL
1857,WSS4948,Serie LED 500 Luces Blanca C/Transparente 25M,96,0,4,0
1857,WS777,Serie LED 500 Luces Blanca C/Transparente 25M,96,0,1.92,0
1857,ecample_01,Serie LED 500 Luces Blanca C/Transparente 25M,96,0,,0
1879,1550Q,Cascada LED 500 Luces Color C/Transparente 10M,160,0,8,0
